system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,S1_VH,S1_VV,S1_VV_div_VH,bare,built,crops,dw_label,flooded_vegetation,grass,latitude,longitude,region,shrub_and_scrub,snow_and_ice,trees,water,year,.geo
0,-0.07972318339100345,0.04822760476739715,-0.08882737408688965,-0.1085121107266436,-0.0629911572472126,0.2288965782391388,0.07972318339100345,0.024605920799692427,-0.1085121107266436,0.13016532103037293,0.11374086889657825,0.01574778931180315,0.0629911572472126,-0.07972318339100345,-0.07535563244905807,0.07972318339100345,-0.19986159169550174,-0.0629911572472126,0.003014225297962322,-0.05536332179930796,-6.151480199923106E-5,0.16000000000000003,-0.22145328719723184,0.2519646289888504,-0.11374086889657825,0.16000000000000003,0.1085121107266436,-0.017777777777777778,-0.01574778931180315,0.03254133025759323,0.01574778931180315,-0.09842368319876971,-0.04822760476739715,-0.09356401384083046,-0.17279507881584008,0.07111111111111111,-0.05536332179930796,-0.04822760476739715,-0.14769703960015382,0.2364628988850442,-0.19986159169550174,0.21413302575932336,0.16000000000000003,5.536332179930795E-4,-0.010396001537870049,0.17279507881584008,-0.14173010380622836,0.08882737408688965,-0.2069357939254133,-0.006151480199923107,0.03844675124951941,0.05173394848135333,-0.11374086889657825,0.186082276047674,0.13016532103037293,0.08882737408688965,0.2288965782391388,-0.012056901191849288,0.2364628988850442,-0.10340638216070744,0.08882737408688965,-0.14769703960015382,0.11909265667051133,-0.1085121107266436,-14.752340172965802,-8.614699198496591,6.13764097446921,0.05482205354686206,0.04091606580186635,0.06139767552182699,0,0.07677005334213997,0.08232380899911125,-3.2978501552953814,-59.85119903551144,amazon_forest,0.06096857297234237,0.05436847461775566,0.17425428996405876,0.39413932877747965,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.85119903551144,-3.2978501552953814]}"
1,-0.09356401384083046,-0.029773164167627833,-0.14173010380622836,-0.05911572472126105,0.010396001537870049,0.16633602460592078,0.1085121107266436,0.11374086889657825,-0.004982698961937716,0.09842368319876971,0.17279507881584008,-0.029773164167627833,-0.003014225297962322,-0.09842368319876971,-0.041584006151480196,0.06698961937716265,-0.13016532103037293,-0.2069357939254133,0.07972318339100345,-0.08421376393694734,0.0629911572472126,0.16633602460592078,-0.15378700499807765,0.19986159169550174,-0.0629911572472126,-0.044844290657439445,0.0629911572472126,-0.14173010380622836,0.04822760476739715,0.044844290657439445,-0.11374086889657825,0.08421376393694734,-0.05536332179930796,-0.024605920799692427,-0.2364628988850442,0.03844675124951941,0.041584006151480196,-0.08882737408688965,0.006151480199923107,0.3188927335640138,-0.186082276047674,0.10340638216070744,0.2679584775086506,-0.03543252595155709,-0.13016532103037293,0.186082276047674,-0.2288965782391388,0.13016532103037293,-0.16000000000000003,-0.10340638216070744,0.16000000000000003,0.17279507881584008,-0.16633602460592078,0.05911572472126105,0.041584006151480196,0.024605920799692427,0.12456747404844293,0.07111111111111111,0.22145328719723184,-0.09842368319876971,0.07972318339100345,-0.05911572472126105,0.06698961937716265,0.07972318339100345,-28.703640791499197,-21.658372810351686,7.045267981147511,0.03536631927177634,0.025320688444797113,0.037288694399530475,0,0.0628400389307543,0.03757121176053972,-3.2632650168567796,-59.51765457051786,amazon_forest,0.029694746744454555,0.03352320134518263,0.04018713500472191,0.6981748672121245,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.51765457051786,-3.2632650168567796]}"
2,-0.07535563244905807,-0.03543252595155709,-0.1929104190695886,-0.0629911572472126,0.022206843521722412,0.17279507881584008,0.10340638216070744,0.12456747404844293,-0.017777777777777778,0.07972318339100345,0.16000000000000003,-0.07972318339100345,-0.029773164167627833,-0.11374086889657825,-0.022206843521722412,0.01574778931180315,-0.14769703960015382,-0.14769703960015382,0.10340638216070744,-0.08882737408688965,0.044844290657439445,0.24415224913494812,-0.14769703960015382,0.24415224913494812,-0.022206843521722412,-0.07972318339100345,0.09842368319876971,-0.2599000384467512,0.024605920799692427,0.007443291041906958,-0.13588619761630144,0.14769703960015382,0.03543252595155709,-0.044844290657439445,-0.2288965782391388,0.019930795847750864,0.07111111111111111,-0.07535563244905807,0.09842368319876971,0.22145328719723184,-0.17279507881584008,0.07111111111111111,0.19986159169550174,-0.03844675124951941,-0.08882737408688965,0.09842368319876971,-0.24415224913494812,0.16000000000000003,-0.12456747404844293,0.01384083044982699,0.16000000000000003,0.19986159169550174,-0.19986159169550174,0.08882737408688965,0.03543252595155709,0.044844290657439445,0.186082276047674,0.03543252595155709,0.1085121107266436,-0.09356401384083046,0.08882737408688965,-0.004982698961937716,0.03254133025759323,0.08882737408688965,-30.853668554133982,-24.07650953620262,6.7771590179313606,0.061857987707480785,0.028662436442183598,0.032552354669730575,0,0.05322517469259245,0.029246278905442784,-3.121421033494307,-60.15473977001543,amazon_forest,0.034598871553316715,0.035355767481295125,0.045494333734469754,0.678969211277685,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.15473977001543,-3.121421033494307]}"
3,-0.09842368319876971,-0.0629911572472126,-0.19986159169550174,-0.06698961937716265,0.01384083044982699,0.16633602460592078,0.09356401384083046,0.11374086889657825,-0.019930795847750864,0.08421376393694734,0.14769703960015382,-0.05911572472126105,-0.008858131487889272,-0.11909265667051133,-0.012056901191849288,0.022206843521722412,-0.12456747404844293,-0.13016532103037293,0.13016532103037293,-0.08421376393694734,0.07535563244905807,0.2288965782391388,-0.17279507881584008,0.22145328719723184,-0.03543252595155709,-0.07111111111111111,0.0629911572472126,-0.2519646289888504,0.022206843521722412,0.022206843521722412,-0.11909265667051133,0.15378700499807765,0.012056901191849288,-0.03543252595155709,-0.2364628988850442,0.017777777777777778,0.0629911572472126,-0.08421376393694734,0.044844290657439445,0.2519646289888504,-0.15378700499807765,0.03543252595155709,0.2288965782391388,-0.029773164167627833,-0.09842368319876971,0.11374086889657825,-0.21413302575932336,0.15378700499807765,-0.14173010380622836,-0.03543252595155709,0.17937716262975778,0.16000000000000003,-0.2364628988850442,0.10340638216070744,0.022206843521722412,0.024605920799692427,0.17279507881584008,0.07111111111111111,0.14173010380622836,-0.10340638216070744,0.1085121107266436,-0.04822760476739715,0.0271280276816609,0.09356401384083046,-31.10653764203972,-23.337331106947715,7.769206535092003,0.08668905373759053,0.03821413704707961,0.03318241190422198,0,0.0438013300781363,0.02821366833362343,-3.0591677843048246,-60.11386642458799,amazon_forest,0.04391639244517889,0.05328337227572398,0.04793816400242263,0.624722568358391,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.11386642458799,-3.0591677843048246]}"
4,-0.08882737408688965,-0.08882737408688965,-0.2288965782391388,-0.029773164167627833,0.03844675124951941,0.2069357939254133,0.12456747404844293,0.0271280276816609,-0.024605920799692427,0.08421376393694734,0.029773164167627833,-0.012056901191849288,-0.029773164167627833,-0.08882737408688965,-0.0271280276816609,0.12456747404844293,-0.2679584775086506,-0.0015378700499807767,0.05173394848135333,-0.06698961937716265,-0.07111111111111111,0.2288965782391388,-0.2599000384467512,0.22145328719723184,-0.003936947327950788,-0.044844290657439445,0.11374086889657825,-0.15378700499807765,0.017777777777777778,-0.14173010380622836,-0.07535563244905807,0.07972318339100345,0.017777777777777778,-0.08421376393694734,-0.21413302575932336,-0.010396001537870049,-0.07111111111111111,-0.09356401384083046,0.06698961937716265,0.1929104190695886,-0.08882737408688965,0.2069357939254133,0.186082276047674,-0.09356401384083046,-0.022206843521722412,0.186082276047674,-0.2679584775086506,0.11374086889657825,-0.13588619761630144,0.022206843521722412,0.14173010380622836,0.11374086889657825,-0.2069357939254133,0.029773164167627833,0.03254133025759323,0.03844675124951941,0.2599000384467512,-0.007443291041906958,0.017777777777777778,-0.07535563244905807,0.09842368319876971,-0.04822760476739715,0.05173394848135333,-0.006151480199923107,-27.269834465447126,-21.43060127973317,5.8392331857139546,0.03729138795170002,0.023950435197912158,0.03536797130363993,0,0.06894822381436824,0.10987814287072979,-3.1091141141018697,-59.68545986559139,amazon_forest,0.038731425994774325,0.029890313150826842,0.04352451136801392,0.6123814616992604,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.68545986559139,-3.1091141141018697]}"
5,-0.11909265667051133,-0.09842368319876971,-0.1929104190695886,-0.12456747404844293,0.044844290657439445,0.2288965782391388,0.03844675124951941,0.11374086889657825,-0.1085121107266436,0.07111111111111111,0.08882737408688965,-0.019930795847750864,-0.044844290657439445,-0.03543252595155709,-0.09356401384083046,0.0271280276816609,-0.21413302575932336,-0.08421376393694734,0.11909265667051133,-0.12456747404844293,0.029773164167627833,0.2519646289888504,-0.28444444444444444,0.2288965782391388,0.029773164167627833,-0.08882737408688965,0.019930795847750864,-0.2519646289888504,-0.012056901191849288,-0.04822760476739715,-0.03543252595155709,0.09356401384083046,0.01574778931180315,0.05911572472126105,-0.17279507881584008,-0.05911572472126105,-0.029773164167627833,-0.041584006151480196,0.09842368319876971,0.19986159169550174,-0.09842368319876971,0.09842368319876971,0.14173010380622836,-0.10340638216070744,-0.07972318339100345,0.0629911572472126,-0.13588619761630144,0.07972318339100345,-0.13016532103037293,0.10340638216070744,0.16633602460592078,0.17279507881584008,-0.2761399461745483,0.04822760476739715,-2.4605920799692423E-4,0.03254133025759323,0.28444444444444444,-0.041584006151480196,0.06698961937716265,-0.11909265667051133,0.05911572472126105,0.044844290657439445,0.010396001537870049,0.044844290657439445,-31.6192789580671,-21.930193275409827,9.689085682657272,0.15099663172824015,0.033730164139629586,0.050419965973368994,0,0.04323414223587239,0.04026325611324098,-3.050454126048865,-60.22579650898928,amazon_forest,0.060384784837400445,0.042099108337424695,0.042001193040050566,0.5368331058293974,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.22579650898928,-3.050454126048865]}"
6,-0.11374086889657825,0.017777777777777778,-0.14769703960015382,-0.0271280276816609,-0.012056901191849288,0.22145328719723184,0.17279507881584008,0.07535563244905807,-0.0629911572472126,0.14173010380622836,0.12456747404844293,-0.012056901191849288,-0.05911572472126105,-0.06698961937716265,-0.041584006151480196,0.08421376393694734,-0.06698961937716265,-0.2069357939254133,0.11374086889657825,-0.05911572472126105,0.13588619761630144,0.19986159169550174,-0.12456747404844293,0.14769703960015382,-0.03254133025759323,-0.01574778931180315,0.09356401384083046,-0.17279507881584008,-0.004982698961937716,-0.003936947327950788,-0.11909265667051133,0.17937716262975778,0.07111111111111111,-0.06698961937716265,-0.17937716262975778,0.029773164167627833,0.11374086889657825,-0.07972318339100345,-0.0271280276816609,0.2679584775086506,-0.22145328719723184,0.029773164167627833,0.19986159169550174,-0.04822760476739715,-0.17937716262975778,0.08421376393694734,-0.21413302575932336,0.15378700499807765,-0.13016532103037293,-0.0629911572472126,0.1929104190695886,0.21413302575932336,-0.15378700499807765,0.09356401384083046,0.11374086889657825,0.07535563244905807,0.12456747404844293,0.13016532103037293,0.17937716262975778,-0.017777777777777778,0.05911572472126105,-0.08882737408688965,0.024605920799692427,0.1085121107266436,-29.64409785654042,-21.622802690230326,8.021295166310093,0.05458495902296688,0.026390476285346916,0.03102332292058106,0,0.04675083688925952,0.031554025381670465,-3.230746003571653,-59.746365641854695,amazon_forest,0.030971211165056696,0.03082271818337696,0.03678270795249513,0.7110820424776259,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.746365641854695,-3.230746003571653]}"
7,0.0015378700499807767,0.0271280276816609,-0.07111111111111111,-0.1085121107266436,-0.03844675124951941,0.3014225297962323,0.19986159169550174,-0.03254133025759323,-0.08421376393694734,0.186082276047674,0.004982698961937716,0.11909265667051133,0.01384083044982699,-0.09356401384083046,-0.022206843521722412,0.13588619761630144,-0.24415224913494812,0.11374086889657825,0.01574778931180315,-0.03254133025759323,-0.186082276047674,0.24415224913494812,-0.2288965782391388,0.16633602460592078,-0.006151480199923107,0.13588619761630144,0.029773164167627833,0.03254133025759323,-0.04822760476739715,-0.04822760476739715,-0.05536332179930796,-0.07972318339100345,0.044844290657439445,-0.0629911572472126,-0.09842368319876971,0.05536332179930796,-0.012056901191849288,-0.09842368319876971,-0.008858131487889272,0.19986159169550174,-0.09842368319876971,0.3188927335640138,0.07111111111111111,-0.07111111111111111,-0.0015378700499807767,0.17279507881584008,-0.1929104190695886,0.017777777777777778,-0.13016532103037293,0.07972318339100345,0.06698961937716265,0.1085121107266436,-0.13016532103037293,0.0629911572472126,0.07111111111111111,0.12456747404844293,0.31009611687812383,-0.007443291041906958,0.041584006151480196,-0.024605920799692427,0.07111111111111111,-0.09356401384083046,-0.002214532871972318,-0.16633602460592078,-15.780784623591156,-8.916864198993633,6.863920424597524,0.05382848819717765,0.04218545316252857,0.11314552527619526,0,0.07477559894323349,0.09026804052991792,-3.324080961591671,-60.451632971416934,amazon_forest,0.06837184545584023,0.04296576250344515,0.19472449681488796,0.31969774210592733,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.451632971416934,-3.324080961591671]}"
8,-0.08421376393694734,-0.002214532871972318,-0.1085121107266436,-0.05911572472126105,-0.05911572472126105,0.186082276047674,0.186082276047674,0.041584006151480196,-0.05911572472126105,0.12456747404844293,0.17279507881584008,-0.012056901191849288,-0.06698961937716265,-0.10340638216070744,-0.004982698961937716,0.07972318339100345,-0.04822760476739715,-0.19986159169550174,0.09356401384083046,-0.06698961937716265,0.15378700499807765,0.1929104190695886,-0.07972318339100345,0.17279507881584008,9.84236831987697E-4,-0.012056901191849288,0.11909265667051133,-0.2069357939254133,0.012056901191849288,0.04822760476739715,-0.11374086889657825,0.1929104190695886,0.04822760476739715,-0.08421376393694734,-0.16000000000000003,0.022206843521722412,0.12456747404844293,-0.07535563244905807,-0.007443291041906958,0.24415224913494812,-0.24415224913494812,0.003936947327950788,0.186082276047674,-0.041584006151480196,-0.16633602460592078,0.08421376393694734,-0.2519646289888504,0.14173010380622836,-0.09842368319876971,-0.0629911572472126,0.17937716262975778,0.24415224913494812,-0.16000000000000003,0.11374086889657825,0.09842368319876971,0.05911572472126105,0.11909265667051133,0.11374086889657825,0.1929104190695886,-0.012056901191849288,0.06698961937716265,-0.04822760476739715,-0.003014225297962322,0.12456747404844293,-32.122780977146064,-22.509120497391486,9.613660479754579,0.04303238513371484,0.024558885834377372,0.03181031719555683,0,0.05179635729556056,0.03011111607492873,-3.0929444389877183,-59.62401510015762,amazon_forest,0.02912270686956066,0.03214855209896059,0.03698108548467809,0.7204022524158724,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.62401510015762,-3.0929444389877183]}"
9,-0.06698961937716265,-0.04822760476739715,-0.16633602460592078,-0.08882737408688965,0.007443291041906958,0.17279507881584008,0.15378700499807765,0.09842368319876971,-0.03254133025759323,0.11909265667051133,0.17937716262975778,-0.07111111111111111,-0.03254133025759323,-0.13588619761630144,-0.0271280276816609,-0.019930795847750864,-0.11909265667051133,-0.15378700499807765,0.09356401384083046,-0.07972318339100345,0.07535563244905807,0.2288965782391388,-0.14173010380622836,0.2364628988850442,0.05173394848135333,-0.04822760476739715,0.09842368319876971,-0.2288965782391388,0.03844675124951941,0.012056901191849288,-0.14173010380622836,0.17937716262975778,0.0271280276816609,-0.0271280276816609,-0.2599000384467512,0.0271280276816609,0.07535563244905807,-0.08882737408688965,0.13016532103037293,0.2069357939254133,-0.16000000000000003,0.05173394848135333,0.186082276047674,-0.044844290657439445,-0.08421376393694734,0.05536332179930796,-0.2364628988850442,0.14173010380622836,-0.10340638216070744,0.022206843521722412,0.17279507881584008,0.2069357939254133,-0.186082276047674,0.11374086889657825,0.041584006151480196,0.07535563244905807,0.14769703960015382,0.07535563244905807,0.11374086889657825,-0.1085121107266436,0.10340638216070744,0.008858131487889272,0.012056901191849288,0.08882737408688965,-33.62548262450739,-22.642204671484592,10.9832779530228,0.07432659530374956,0.029034091515074436,0.031404269908211734,0,0.04402213900252,0.029303267451101227,-2.947327531431944,-60.49780637702067,amazon_forest,0.042709449318384655,0.045375992936131204,0.0429610082953188,0.6608280599680975,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.49780637702067,-2.947327531431944]}"
